app_id,process_id,role_code,auth_method_code,method_seq,lang_code,is_active,cr_by,cr_dtimes
10003,login_auth,Default,PWD,1,eng,TRUE,system,now()
10003,login_auth,Default,OTP,2,eng,FALSE,system,now()
10003,login_auth,Default,FINGERPRINT,3,eng,FALSE,system,now()
10003,login_auth,Default,IRIS,4,eng,FALSE,system,now()
10003,login_auth,Default,FACE,5,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_OFFICER,PWD,1,eng,TRUE,system,now()
10003,login_auth,REGISTRATION_OFFICER,OTP,2,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_OFFICER,FINGERPRINT,3,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_OFFICER,IRIS,4,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_OFFICER,FACE,5,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_SUPERVISOR,PWD,1,eng,TRUE,system,now()
10003,login_auth,REGISTRATION_SUPERVISOR,OTP,2,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_SUPERVISOR,FINGERPRINT,3,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_SUPERVISOR,IRIS,4,eng,FALSE,system,now()
10003,login_auth,REGISTRATION_SUPERVISOR,FACE,5,eng,FALSE,system,now()
10003,onboard_auth,Default,PWD,1,eng,TRUE,system,now()
10003,onboard_auth,Default,OTP,2,eng,FALSE,system,now()
10003,onboard_auth,REGISTRATION_OFFICER,PWD,1,eng,TRUE,system,now()
10003,onboard_auth,REGISTRATION_OFFICER,OTP,2,eng,FALSE,system,now()
10003,onboard_auth,REGISTRATION_SUPERVISOR,PWD,1,eng,TRUE,system,now()
10003,onboard_auth,REGISTRATION_SUPERVISOR,OTP,2,eng,FALSE,system,now()
10003,packet_auth,Default,PWD,1,eng,TRUE,system,now()
10003,packet_auth,Default,OTP,2,eng,FALSE,system,now()
10003,packet_auth,Default,FINGERPRINT,3,eng,FALSE,system,now()
10003,packet_auth,Default,IRIS,4,eng,FALSE,system,now()
10003,packet_auth,Default,FACE,5,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_SUPERVISOR,PWD,1,eng,TRUE,system,now()
10003,packet_auth,REGISTRATION_SUPERVISOR,OTP,2,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_SUPERVISOR,FINGERPRINT,3,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_SUPERVISOR,IRIS,4,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_SUPERVISOR,FACE,5,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_OFFICER,PWD,1,eng,TRUE,system,now()
10003,packet_auth,REGISTRATION_OFFICER,OTP,2,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_OFFICER,FINGERPRINT,3,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_OFFICER,IRIS,4,eng,FALSE,system,now()
10003,packet_auth,REGISTRATION_OFFICER,FACE,5,eng,FALSE,system,now()
10003,eod_auth,Default,PWD,1,eng,TRUE,system,now()
10003,eod_auth,Default,OTP,2,eng,FALSE,system,now()
10003,eod_auth,Default,FINGERPRINT,3,eng,FALSE,system,now()
10003,eod_auth,Default,IRIS,4,eng,FALSE,system,now()
10003,eod_auth,Default,FACE,5,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_SUPERVISOR,PWD,1,eng,TRUE,system,now()
10003,eod_auth,REGISTRATION_SUPERVISOR,OTP,2,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_SUPERVISOR,FINGERPRINT,3,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_SUPERVISOR,IRIS,4,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_SUPERVISOR,FACE,5,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_OFFICER,PWD,1,eng,TRUE,system,now()
10003,eod_auth,REGISTRATION_OFFICER,OTP,2,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_OFFICER,FINGERPRINT,3,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_OFFICER,IRIS,4,eng,FALSE,system,now()
10003,eod_auth,REGISTRATION_OFFICER,FACE,5,eng,FALSE,system,now()
10003,exception_auth,Default,PWD,1,eng,TRUE,system,now()
10003,exception_auth,Default,OTP,2,eng,FALSE,system,now()
10003,exception_auth,Default,FINGERPRINT,3,eng,FALSE,system,now()
10003,exception_auth,Default,IRIS,4,eng,FALSE,system,now()
10003,exception_auth,Default,FACE,5,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_SUPERVISOR,PWD,1,eng,TRUE,system,now()
10003,exception_auth,REGISTRATION_SUPERVISOR,OTP,2,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_SUPERVISOR,FINGERPRINT,3,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_SUPERVISOR,IRIS,4,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_SUPERVISOR,FACE,5,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_OFFICER,PWD,1,eng,TRUE,system,now()
10003,exception_auth,REGISTRATION_OFFICER,OTP,2,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_OFFICER,FINGERPRINT,3,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_OFFICER,IRIS,4,eng,FALSE,system,now()
10003,exception_auth,REGISTRATION_OFFICER,FACE,5,eng,FALSE,system,now()
